Detailed Parameter,Simple Parameter,Reference,Species,Evidence of Temperature Dependence,Activation Energy,Single species or multiple?,Where to find in paper,Evidence that temp dependence differs between species,Notes,More Notes,Their Data or Dataset?
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: nano-phytoplankton,Yes,0.43,multiple species,"From Table 1 (EO station)
E=0.43",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: pico-phytoplankton,Yes,0.31,multiple species,"From Table 1 (EO station)
E=0.31",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: Synechococcus,Yes,0.58,single species (maybe),"From Table 1 (EO station)
E=0.58",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: Picoeukaryotes,Yes,0.38,multiple species,"From Table 1 (EO station)
E=0.38",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: micro-phytoplankton,Yes,0.34,multiple species,"From Table 1 (WE station)
E=0.34",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: nano-phytoplankton,Yes,0.63,multiple species,"From Table 1 (WE station)
E=0.63",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: pico-phytoplankton,Yes,0.43,multiple species,"From Table 1 (WE station)
E=0.43",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: Synechococcus,Yes,0.54,single species (maybe),"From Table 1 (WE station)
E=0.54",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
"growth rate (unclear to me, see notes)",growth rate,Liu et al. (2019). Marine phytoplankton in subtropical coastal waters showing lower thermal sensitivity than microzooplankton. Limnology and Oceanography: 64(3): 1103-1119,Phytoplankton: Picoeukaryotes,Yes,0.48,multiple species,"From Table 1 (WE station)
E=0.48",Probably: E appears to differ somewhat between size classes of phyoplankton (Fig. 5),They mention the calculation of a few different growth rates and I'm not sure which one their calculation of E is based on,This value of E is from a linear mixed effects model. Values for E from an OLS regression are available in Table 1,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen et al. (2012). Does warming enhance the effect of microzooplankton grazing on marine phytoplankton in the ocean? Limnology and Oceanography: 57(2): 519-526,Phytoplankton,Yes,0.36,multiple species,"From page 522
E=0.36 (see notes)",,"There's a lot of fairly technical language in this paper that I'm not familiar with. As such, I'm not totally confident that I understand the process by which they arrived at this value of E.",,"dataset:
Builds upon a dataset from:
Calbet and Landry (2004)"
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Synechococcus (measured by flow cytometry),Yes,0.71,single species (maybe),"From Table 2
E=0.71",,"They only ever give the genus name, so this could potentially be multiple species of Synechococcus",,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Synechococcus (measured by high-performance liquid chromatography),Yes,0.46,single species (maybe),"From Table 2
E=0.46",,"They only ever give the genus name, so this could potentially be multiple species of Synechococcus",,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Picoeukaryotes,Yes,0.6,multiple species,"From Table 2
E=0.60",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Diatoms,Yes,0.59,multiple species,"From Table 2
E=0.59",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Prasinophytes,Yes,0.52,multiple species,"From Table 2
E=0.52",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Cryptophytes,Yes,0.54,multiple species,"From Table 2
E=0.54",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Dinoflagellates,Yes,0.38,multiple species,"From Table 2
E=0.38",,,,their data
growth rate (nutrient-enriched growth rate),growth rate,Chen & Liu (2015). Responses of autotrophic and heterotrophic rates of plankton from a subtropical coastal site to short-term temperature modulations. Marine Ecology Progress Series: 527: 59-71,Phytoplankton: Green algae,Yes,0.61,multiple species,"From Table 2
E=0.61",,,,their data
