Detailed Parameter,Simple Parameter,Specific Metric,Reference,General Taxon/Grouping,Heterotroph or Autotroph,Species,Resource General,Resource Species,Temp Range,Number of Temps Measured,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
c: consumption rate (feeding rate coefficient),consumption rate,,"Luecke & O'Brien. (1983). The effect of Heterocope predation on zooplankton communities in arctic ponds. Limnology and Oceanography: 28(2)
Activation energy calculated by: Brown et al. (2004). See full reference above",Copepod,heterotroph,Heterocope septentrionalis,Zooplankton,Zooplankton,5-15,3,Yes,0.81,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.81",,"Brown et al. (2004) calculate E for ""feeding rate"" but Luecke & O'Brien describe a ""feeding rate coefficient."" The formula for calculating feeding rate coefficient is provided on page 368.",Luecke & O'Brien (1983) Fig.1 shows feeding rate coefficient vs temperature for 5 different prey species.,"their data, used in Brown et al. (2004)"
c: consumption rate (grazing),consumption rate,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282
Activation energy calculated by: Brown et al. (2004). See full reference above",Tintinnids (zooplankton),heterotroph,"Tintinnopsis acuminata,
Tintinnopsis vasculum",Phytoplankton,"Isochrysis galbana and Dicrateria inornata, respectively","5-15 (T. vasculum)
15-25 (T. acuminata)",3 for each species,Yes,0.57,,,Arrhenius,multiple species,"From Brown et al. (2004) Table 1
E=0.57",,"The original paper measures ingestion and clearance rates. It is unclear which of these Brown et al. are using to calculate E as they use the term ""grazing rate""",,"their data, used in Brown et al. (2004)"
c: consumption rate (attack rate),consumption rate,attack rate,Rall et al. (2012). Universal temperature and body-mass scaling of feeding rates. Philosophical Transactions of the Royal Society B- Biological Sciences: 367(1605): 2923-2934,"Unicells, Invertebrates, and Vertebrates",heterotroph,"Unicells, Invertebrates, and Vertebrates",,,,,Yes,0.42,,,Arrhenius,multiple species,"From Table 1 and page 2929 text
E=0.42","Maybe: E was not estimated for individual groups in the most parsimonious model, but was in the full model (see Table 1). However, some of these estimates seem very unusual (eg. E=-37.66 for freshwater unicells)",The estimate of E here is from the most parsimonious model. Estimates of E from other models are available in Table 1,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica (juvenile),Caddisfly,Hydropsyche spp. (juvenile),14-28,8,Yes,0.33,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica (juvenile),Caddisfly,Hydropsyche spp. (juvenile),16-28,7,Yes,0.42,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica (juvenile),Caddisfly,Hydropsyche spp. (juvenile),6-20,7,Yes,0.62,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Stonefly,heterotroph,Acroneuria californica (juvenile),Black Fly,Simulium spp. (juvenile),10-24,8,Yes,0.15,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Agonum dorsale (adult),Aphid,Sitobion avenae (juvenile),12.3-23.6,4,Yes,1.15,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Bembidion lampros (adult),Aphid,Rhopalosiphum padi (adult),10-25,4,Yes,0.72,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Beetle,heterotroph,Carcinops pumilio (adult),House fly,Musca domestica (juvenile),15-33,4,Yes,0.8,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Crab,heterotroph,Carcinus maenas (adult),Mussel,Mytilus edulis (adult),3.8-17.7,4,Yes,0.77,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Dragonfly,heterotroph,Celithemis fasciata (juvenile),Midge,Chironomus tentans (juvenile),10-25,4,Yes,0.85,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Midge,heterotroph,Chaoborus americanus (juvenile),Copepod,Diaptomus kenai (adult),5-20,4,Yes,0.68,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Midge,heterotroph,Chaoborus trivittatus (juvenile),Copepod,Diaptomus tyrelli (adult),5-20,4,Yes,0.69,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Gymnocephalus cernuus (adult),Midge,Chaoborus obscuripes (juvenile),4-20,5,Yes,0.16,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Fish,heterotroph,Gymnocephalus cernuus (adult),Midge,Chaoborus obscuripes (juvenile),4-20,5,Yes,0.4,,,Arrhenius,single species,From Table S3,,,,dataset
