References,ID,Species,Latitude (°N),Longitude (°E),Optimal growth temperature (ºC),Cell volume (?m3),Activation energy (eV),Standard error of activation energy
Kaeriyama et al. (2011),313,Skeletonema japonicum,33.9,130.8,NA,327,0.23,0.05
Kaeriyama et al. (2011),314,Skeletonema japonicum strain FDK157,33.9,130.8,20,327,0.2,0.36
Kaeriyama et al. (2011),315,Skeletonema japonicum strain FDK154,33.9,130.8,20,327,0.17,0.13
Kaeriyama et al. (2011),316,Skeletonema marinoionohrnii complex strain FDK032,33.9,130.8,NA,166,0.21,0.06
Kaeriyama et al. (2011),317,Skeletonema marinoionohrnii complex,33.9,130.8,25,166,0.3,0.04
Kaeriyama et al. (2011),318,Skeletonema marinoionohrnii complex,33.9,130.8,NA,166,0.16,0.05
Kaeriyama et al. (2011),319,Skeletonema marinoionohrnii complex,33.9,130.8,25,166,0.21,0.08
Kaeriyama et al. (2011),320,Skeletonema marinoionohrnii complex,33.9,130.8,NA,166,0.15,0.01
Kaeriyama et al. (2011),321,Skeletonema menzelii,33.9,130.8,NA,56.5,0.47,0.08
Kaeriyama et al. (2011),322,Skeletonema menzelii,33.9,130.8,30,56.5,0.49,0.11
Kaeriyama et al. (2011),323,Skeletonema menzelii,33.9,130.8,25,56.5,0.62,0.1
Kaeriyama et al. (2011),324,Skeletonema menzelii,33.9,130.8,30,56.5,0.39,0.12
Kaeriyama et al. (2011),325,Skeletonema pseudocostatum,33.9,130.8,NA,198,0.36,0.09
Hulburt (1982),326,Skeletonema tropicum clone fall,6,-54,31,2500,0.61,0.29
Hulburt (1982),327,Skeletonema tropicum clone spring,6,-54,NA,2500,0.91,0.37
Hulburt & Guillard (1968),328,Skeletonema tropicum,NA,NA,NA,2500,1.63,0.66
Hulburt & Guillard (1968),329,Skeletonema tropicum,NA,NA,NA,2500,1.02,0.34
Kaeriyama et al. (2011),330,Skeletonema tropicum,33.9,130.8,25,2500,0.3,0.08
Kaeriyama et al. (2011),331,Skeletonema tropicum,33.9,130.8,25,2500,0.4,0.07
Kaeriyama et al. (2011),332,Skeletonema tropicum,33.9,130.8,NA,2500,0.3,0.11
Kaeriyama et al. (2011),333,Skeletonema tropicum,33.9,130.8,NA,2500,0.31,0.04
Kaeriyama et al. (2011),334,Skeletonema tropicum,33.9,130.8,25,2500,0.6,0.23
Fiala & Oriol (1990),344,Stellarima microtrias,-58,62,4,53900,0.08,0.11
Baars (1981),346,Stephanopyxis palmeriana,51.4,3.6,20,454000,0.35,NA
Schöne (1982),347,Stephanopyxis palmeriana,22.5,-16.5,20,454000,0.24,0.04
Ryther (1954),348,Stichococcus cylindricus,40.7,-73.1,15,5.3,1.99,NA
Boyd et al. (2013),349,Synechococcus CCFWC502,-11.7,-32,20,0.956,2.29,NA
