Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Activation.energy,Error,Error.Metric,Model.Used,Where.to.find.in.paper
resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,...Milk?,Bacteria,Bacteria,Bacteria,heterotroph,Pseudomonas sp. strain #92,,,,,30,0,30,6,-0.68,0.51,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
resource carrying capacity,maximum population density,"Greene & Jezeski (1954). Influence of temperature on the development of several psychrophilic bacteria of dairy
origin. Applied Microbiology: 2(2): 110-117
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,...Milk?,Bacteria,Bacteria,Bacteria,heterotroph,Pseudomonas sp. strain #69,,,,,30,0,30,6,-0.29,0.25,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
resource carrying capacity,maximum population density,"Zanoni et al. (1993). Modeling the growth of Enterococcus faecium in
bologna sausage. Applied and Environmental Microbiology: 59(10): 3411-3417
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Bacteria,Bacteria,Bacteria,heterotroph,Enterococcus faecium,,,,,50,6,44,10,-0.9,0.34,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
resource carrying capacity,maximum population density,"Zwietering et al. (1991). Modeling of bacterial growth as a function of temperature. Applied and Environmental Microbiology: 57(4): 1094-1101
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,unsure,Bacteria,Bacteria,Bacteria,heterotroph,Lactobacillus plantarum,,,,,40,21.5,18.5,9,-0.67,0.15,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
mortality rate,1/generation time???,"Zamani et al. (2006). Effect of temperature on biology and population growth parameters of Aphis gossypii Glover (Hom., Aphididae) on greenhouse cucumber. Journal of Applied Entomology: 130(8): 453-460
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Aphis gossypii,adult,Plant,Cucumis sativus,,30,10,20,5,0.54,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
mortality rate,1/longevity,"Goldasteh et al. (2009). Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd). Archives of Biological Sciences: 61(2): 329-336
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Mealybug,heterotroph,Planococcus citri,adult,Plant,Solenostemon scutellarioides,,32,18,14,7,0.32,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
mortality rate,1/longevity,"Goldasteh et al. (2009). Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd). Archives of Biological Sciences: 61(2): 329-336
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Mealybug,heterotroph,Planococcus citri,adult,Plant,Solenostemon scutellarioides,,32,18,14,7,0.47,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
mortality rate,1/longevity,"Benider et al. (2002). Growth of Moina macrocopa (Straus 1820) (Crustacea, Cladocera): influence of trophic conditions, population density and temperature. Hydrobiologia: 468(1):1-11
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Freshwater,Invertebrates,Crustaceans,Cladocera,heterotroph,Moina macrocopa,adult,Algae,Chlorella sorokiniana,,30,15,15,5,0.43,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Freshwater,Invertebrates,Crustaceans,Crayfish,heterotroph,Procambarus clarkii,adult,,,,30,15,15,6,0.68,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
mortality rate,mortality rate,"Chen et al. (1995). Effects of temperature upon ablation-to-molt interval and mortality of red swamp crawfish (Procambarus clarkii) subjected to bilateral eyestalk ablation. Aquaculture: 138(1): 191-204
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Freshwater,Invertebrates,Crustaceans,Crayfish,heterotroph,Procambarus clarkii,juvenile,,,,30,15,15,6,0.66,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
mortality rate,1/generation time???,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Tetraneura nigriabdominalis,adult,Plant,Oryza sativa,,30,10,20,5,0.56,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
mortality rate,1/longevity,"Kuo et al. (2006). Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera: Pemphigidae) on three host plants. Journal of Economic Entomology: 99(4): 1209-1213
Activation energy calculated in: Dell et al. (2011) See full reference above",Lab,Terrestrial,Invertebrates,Insects,Aphid,heterotroph,Tetraneura nigriabdominalis,adult,Plant,Oryza sativa,,35,10,25,6,0.24,NA,,Arrhenius,From Table S3 in Dell et al. (2011)
consumption rate,attack rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Petchey et al. (2010). Predicting the effects of temperature on food web connectance. Philosophical Transactions of the Royal Society B- Biological Sciences: 365(1549): 2081-2091",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,0.509,NA,,Arrhenius,"From Petchey et al. (2010) Fig. 1e
E=0.509"
consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,0.59,NA,,Arrhenius,From Table S3
consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,0.97,NA,,Arrhenius,From Table S3
consumption rate,maximum feeding rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,0.71,0.22,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,adult,Mite,Aponychus corpuzae,adult,35,15,20,5,0.152,NA,,Arrhenius,"From Petchey et al. (2010) Fig. 1f
E=0.152 (but see notes)"
consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,adult,Mite,Aponychus corpuzae,adult,35,15,20,5,0.23,0.08,SE,Arrhenius,From Supplementary Table 4 in Fussmann et al. (2014)
consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,35,10,25,6,0.432,NA,,Arrhenius,"From Petchey et al. (2010) Fig 1g
E=0.432"
