intercept,sigma2,parameter
0.4687922880116989,0.024555660991788665,mortality_rate
0.4105410790499089,0.03953842451142058,mortality_rate
0.5264251893853575,0.0176027826966363,mortality_rate
0.4576768904281876,0.022632246970211076,mortality_rate
0.4482058249036581,0.014204408809640254,mortality_rate
0.4824053372396747,0.012793238730576527,mortality_rate
0.4532995823066738,0.02143142557910052,mortality_rate
0.4643821852801425,0.022831051064594182,mortality_rate
0.4306875075549042,0.013296116092895598,mortality_rate
0.37599057610047654,0.05293697006996465,mortality_rate
0.5637192209316593,0.057372535665023615,mortality_rate
0.4682816662677122,0.039012960557023885,mortality_rate
0.4626172246005475,0.020559096920293275,mortality_rate
0.49076846786915523,0.01119310788292825,mortality_rate
0.4220177280090869,0.04150051972636931,mortality_rate
0.5597303772493892,0.021937147185870733,mortality_rate
0.5430876850426587,0.034628738976770705,mortality_rate
0.3152756600041974,0.030877184719719765,mortality_rate
0.3876799223486972,0.07274716564506838,mortality_rate
0.3445916689337874,0.029510695333145896,mortality_rate
0.49510358350128947,0.023665433840347992,mortality_rate
0.59866312362774865,0.015838801225652028,mortality_rate
0.54291084786146,0.11814980627779091,mortality_rate
0.5366466794163443,0.023237306638167712,mortality_rate
0.43585467875010486,0.035191486757464203,mortality_rate
0.4574067841093784,0.020449149281205184,mortality_rate
0.513410821406687,0.021519257559483206,mortality_rate
0.5505145017038,0.05427201069427031,mortality_rate
0.5056841790352921,0.014132357073419699,mortality_rate
0.494390411326025,0.01311925494993131,mortality_rate
0.4431623492140608,0.011185139845097055,mortality_rate
0.5201049875748539,0.06421581710464136,mortality_rate
0.44958969476237237,0.010853295565316074,mortality_rate
0.47719275502441977,0.012565425901631065,mortality_rate
0.5127307429745439,0.018803623857445714,mortality_rate
0.5823046327381509,0.04215868960554868,mortality_rate
0.4789143770488724,0.024470206138255172,mortality_rate
0.39915008004953967,0.03173429403271471,mortality_rate
0.4500969563219034,0.03170542161161562,mortality_rate
0.6457990712722073,0.15129907106507648,mortality_rate
0.4647421056325252,0.04094687224653314,mortality_rate
0.5108740315059549,0.036699909039241314,mortality_rate
0.564321680823159,0.022490889103142883,mortality_rate
0.5306096314712038,0.02551623239654484,mortality_rate
0.5886554834856911,0.018544881207721624,mortality_rate
0.3366420529150038,0.055490985196452486,mortality_rate
0.45293616535281506,0.034449482587773195,mortality_rate
0.48544696090418527,0.02497738379836224,mortality_rate
0.4499226248823628,0.023266252962680128,mortality_rate
0.4328544536797043,0.069827254735738,mortality_rate
0.43002954054425985,0.030501339079149665,mortality_rate
0.6433900025557393,0.03426154850646462,mortality_rate
0.5626893605133729,0.07166820612074415,mortality_rate
0.5121524776047588,0.014477862863421785,mortality_rate
0.4670914915138408,0.013192863980408382,mortality_rate
0.5740116317973714,0.03148814240127674,mortality_rate
0.5837080828610205,0.016334649534010186,mortality_rate
0.5172510502217014,0.03305729298381329,mortality_rate
0.533587475026193,0.03517556097831019,mortality_rate
0.5524935863393128,0.022131995665309625,mortality_rate
